"var1","var2","var3","var4","var6","var7","var8","var9","var10","var11","var12","var13","var15","var16","var17","var18","var19","var20","var22","var23","var107","var119","var123","var129","var174","var187","var236","var246","var248","var255","var338","var368","var422","var433","var509","var545","var554","var566","var589","var603","var607","var695","var729","var742","var756","var783","var819","var842","var1003","var1055","var1319","var1594","var1601","var1645","var1799","var1911","var1924","var1955","var2046","var2050","var2303","Class"
0.7733437,-2.438405,-0.4825622,-2.721135,0.8278092,1.342604,0.05704174,0.1335689,0.5654274,1.499824,0.3935949,1.625921,0.01054421,-0.5454171,0.1865626,1.26472,-1.046399,0.6916961,1.911126,-0.3562465,-2.611831,-0.3814068,-1.422543,-2.763035,-3.327018,-3.426515,0.001199281,1.604747,0.5256157,-1.514582,-0.82189,-1.11109,0.3450071,-2.629701,-1.844528,0.7801502,-1.850236,0.03459464,-0.8889188,-3.013896,-0.8744293,-1.584745,-0.9416085,0.7311171,-1.047254,-2.526979,-2.108664,1.553629,-3.231455,-2.529486,1.536803,-2.520741,0.0875529,0.9097896,-1.89712,-3.172469,-3.139603,-1.06045,-2.051826,-4.635629,-0.463624,"2"
-0.07817778,-2.415754,0.4127717,-2.825146,0.05448819,1.429498,-0.1202486,0.4567917,0.1590529,1.145909,0.3806942,1.556522,0.1587117,-0.2741737,0.3254113,1.647774,-1.299016,1.249787,1.698236,-0.8365558,0.8554786,-1.791559,-1.859824,-2.264326,-2.818423,-2.361274,-2.72418,0.7924947,0.8172657,-1.701005,-1.275827,-0.5651058,0.717791,-2.362335,-1.699363,1.072679,-1.598004,-1.240983,-0.836325,-1.36375,-0.0885034,-1.360237,0.2026143,0.3808308,-0.4555486,-2.234926,-3.272804,1.732505,-2.294617,-2.094758,0.6934471,-1.227241,-0.7918632,0.1290087,-1.979053,-2.869981,-2.152442,-1.113523,-3.007805,-1.356736,0.03478783,"2"
-0.08446916,-1.649739,-0.2413075,-2.875286,-0.02747398,1.1593,0.01567648,0.1919418,0.4965847,1.388741,-0.5306883,1.614903,0.07927318,-0.5373407,0.004390348,1.472311,-0.9043622,0.693697,1.571881,-1.093326,-0.3792127,-2.348629,-2.116106,-2.050271,-3.055482,-2.259526,-2.006191,1.552741,0.2816388,-1.256319,-1.779633,-0.3831656,0.1238976,-2.727233,-1.478848,1.334238,-1.689564,1.014651,-0.5610668,-0.9281103,-0.5679252,-1.485894,0.2547972,-0.2871489,-0.5487006,-1.278337,-2.7678,1.454747,-2.154165,-1.205641,1.310627,-1.213686,0.7540541,0.7381205,-2.066723,-2.882404,-1.200313,-0.8947739,-2.972016,-2.922482,-0.6786527,"2"
0.965614,-2.380547,0.6252965,-1.741256,0.9496868,1.093801,0.8197358,-0.2846201,0.9947322,1.014832,0.08250122,1.0476,-0.1707883,-0.0438474,-0.4254127,0.4528575,-0.680231,0.3938648,1.115732,0.2871319,-0.1529181,-0.1586441,-1.104127,-2.259526,-1.448595,-2.271086,-0.1416788,1.135844,0.2505252,-1.657578,-0.771974,-0.6969544,0.191529,-2.626931,-1.197991,0.9006084,-1.704848,0.04707441,-0.3069329,0.07612736,0.1671233,-0.8601467,-0.5758976,-0.8278221,-0.1110433,-1.601966,-0.9197969,1.037233,-2.219163,-2.26915,0.2857803,-0.7802313,-0.3601094,1.008031,-0.9832321,-2.150723,-1.986316,-0.6309238,-0.03957278,-2.425883,0.1633086,"2"
0.0756639,-1.728785,0.8526265,0.2726953,0.3279359,1.251219,0.7714499,0.0309171,0.2783133,1.112219,-0.3936354,1.186776,-0.3865452,0.086728,0.1375857,1.147402,1.203483,0.6311654,1.222392,-1.602462,0.4368346,-1.206309,-0.674718,-1.590616,-2.248097,-2.000261,0.3985076,1.259143,0.0475513,-2.291645,-0.7752253,0.2363361,-0.1098149,-1.961836,-1.974001,1.190553,-1.187444,-0.4495737,-0.8763491,-1.219763,0.4918874,-1.438852,-1.08205,-0.1772146,0.1710078,-0.5684547,-0.4663304,0.7275969,-1.539912,-0.9902064,0.4090586,-2.276917,-1.800598,0.613671,-1.434225,-1.820159,-1.9951,-0.8952634,-2.142168,-2.891372,0.3688011,"2"
0.4588163,-2.875286,0.1358412,0.4053984,0.1378471,1.73353,0.3964244,0.04583342,0.3520643,1.694514,-0.3776068,1.825613,-0.3969019,-0.7476034,0.03652477,0.3312443,0.3256279,-0.9929018,1.777999,-1.611941,1.687565,-1.634243,-2.049494,-1.806061,-1.872753,-2.877061,0.9450337,1.799992,-0.3159444,-1.348613,-1.225196,-0.859438,0.09712671,-2.339249,-2.438405,1.909409,-1.777265,1.591763,-0.560191,-2.281803,0.06952606,-1.690648,-1.921413,-0.1532677,0.1299751,-1.892464,-0.9051035,0.294608,-1.576487,-2.174192,0.6737605,-1.740686,-1.272252,0.2969886,-1.984859,-1.889813,-2.118598,-0.7808861,-2.018158,-2.065144,0.3900807,"2"
0.06709774,-1.624044,0.5196268,0.2382292,0.138805,1.825291,-0.3054388,-0.05287349,-1.242367,1.830852,-1.347074,1.268243,-0.2240189,-0.1468772,0.5721653,0.6969898,0.646108,-1.422129,1.786747,-3.172469,-0.2368622,-0.2497442,-1.101115,-2.036382,-2.117767,-3.068303,-0.6707988,1.705112,-0.2646168,-2.130314,-2.116106,0.2338065,-0.05625294,-1.680397,-2.015153,2.00279,-1.993631,0.469566,-1.010876,-2.02647,0.9991234,-1.312301,-0.6641711,0.4154814,0.4512667,-1.592581,-0.4111311,0.8826926,-1.835085,-0.2060406,-0.8753887,-3.072613,-2.249044,-1.152646,-2.739541,-1.850873,-2.613195,-0.6706032,-2.722656,-2.977892,0.3806942,"2"
0.09412766,-1.795165,0.7027509,0.2060381,0.2881819,1.406072,0.7603384,-0.03905273,0.1361031,1.300028,-0.4194626,1.390834,-0.3762947,0.05401459,0.1655992,1.287082,1.238316,0.5638923,1.463857,-1.652345,0.4045981,-1.302689,-0.7023898,-1.641445,-2.273026,-2.106196,0.3067491,1.490587,-0.03035612,-2.161086,-0.8175773,0.1322556,-0.1262437,-2.046394,-2.051048,1.204413,-1.250017,-0.5421443,-0.9162907,-1.308223,0.4314577,-1.499687,-1.141624,-0.210721,0.2279321,-0.6616485,-0.5118261,0.7069021,-1.607939,-1.033949,0.3449363,-2.387054,-1.817077,0.554632,-1.502379,-1.894457,-2.093135,-0.9311506,-2.234926,-2.922482,0.3455736,"2"
0.1083161,-1.944911,0.6000994,-0.05108279,0.1192042,1.849116,0.2375197,-0.05034637,-0.2527011,1.735965,-1.470546,1.129044,-0.244878,0.2120422,0.2102609,1.15092,1.012001,-1.013904,1.857173,-2.143873,-0.511159,-0.9175415,-1.666008,-2.338212,-2.950759,-2.868219,-1.29975,1.002175,-0.514499,-3.123566,-1.726534,-0.5317088,-0.001801622,-2.882404,-2.250942,1.134044,-1.250366,-0.5436932,-1.505528,-2.565249,0.8753437,-1.86111,-1.253513,-0.08045112,0.1310283,-2.217325,-0.8481649,0.9130856,-2.034851,-0.2568296,-1.987774,-3.750755,-2.346537,0.180069,-2.763035,-2.439551,-3.030324,-0.231806,-1.154865,-3.499913,-0.6337468,"2"
-0.970747,-2.347582,-0.3920061,-0.141218,-0.3035405,1.498551,-0.2064094,0.1447927,-1.572142,1.582128,-0.8739499,1.457126,-0.1612256,0.5727294,0.7776262,1.543213,1.163963,0.1978668,1.601748,-1.665479,0.3180173,-0.3592497,-2.016655,-1.536652,-2.898606,-2.312635,-1.728785,0.7878208,-0.2556667,-1.88783,-1.587676,-0.4944603,0.4541918,-2.99974,-1.658628,1.7154,-1.410177,-1.177006,-1.712579,-1.29244,0.1185827,-1.942117,-1.785579,0.5140803,0.08562709,-0.4402118,-2.304587,0.8567955,-1.633731,-2.787093,-0.451928,-3.839702,-2.501036,0.5009571,-3.114516,-0.8472312,-2.487711,-0.3778986,-2.416874,-3.604538,-0.9308969,"2"
